customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Female,0,No,No,6,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,One year,No,Electronic check,91.01,566.66,Yes
CUST-00002,Female,0,No,Yes,56,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,104.34,5835.48,Yes
CUST-00003,Female,1,No,No,47,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),92.55,4336.87,Yes
CUST-00004,Male,0,No,No,32,Yes,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.05,1625.67,No
CUST-00005,Male,0,No,No,31,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,95.98,2955.48,No
CUST-00006,Female,0,Yes,No,62,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),52.58,3261.2,No
CUST-00007,Male,0,No,Yes,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),55.52,319.09,Yes
CUST-00008,Female,0,Yes,No,50,Yes,Yes,No,No,No,No internet service,No internet service,Yes,No,Two year,No,Credit card (automatic),36.42,1798.18,No
CUST-00009,Female,0,Yes,No,14,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,93.01,1303.15,Yes
CUST-00010,Male,1,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),123.48,767.74,Yes
CUST-00011,Male,0,No,Yes,38,Yes,No,No,No internet service,No,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),49.11,1865.06,No
CUST-00012,Male,0,No,No,71,No,No phone service,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,65.1,4599.44,Yes
CUST-00013,Male,1,Yes,Yes,53,Yes,No,No,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),45.51,2437.48,No
